int_id;rest_id;rest_name;website;lat;lng;neighborhood
327;cdfda975-1228-5591-8639-a8a517fcec01;Caravaggio;http://www.caravaggiorestaurant.co.uk/;51,514417;-0,080753;City
335;ea445250-11b4-5ab6-ac58-56f2d211dd0b;Hop;http://www.hopvietnamese.com/;51,520022;-0,085008;City
340;3e785ecb-a68b-5a41-8f05-cb87d2dbba99;Relais de Venise;http://www.relaisdevenise.com/;51,514886;-0,08649;City
597;1e4e6352-3e22-5a41-9c15-98582f819c1e;The Sugar Loaf;http://www.nicholsonspubs.co.uk/thesugarloafcannonstreet/;51,512515;-0,092521;City
539;260bcb0a-8a88-53a0-8ea5-527c9e750412;Rucoletta;http://rucoletta.co.uk/;51,515319;-0,096274;City
598;a061b679-1eec-503d-8497-d0af1a1f2042;Da Giua;http://www.dagiua.com;51,522349;-0,09273;City
811;319fa9df-cc07-53cb-a404-c52f9323b1cb;Cigalon;http://www.cigalon.co.uk;51,514772;-0,111463;City
814;5448e3b1-81c4-5ea7-be71-63c0b43fb0a3;The Hoop and Grapes;http://www.thehoopandgrapes.co.uk/;51,515656;-0,105055;City
341;c6f4409f-92e3-52f6-ad70-f4d178443a4f;Cafe Below;http://www.cafebelow.co.uk/;51,513907;-0,09354;City
355;820c9e51-fa1c-5633-8dce-1dbf3e1533fd;My Pasta Bar;http://www.mypastabar.co.uk/;51,514069;-0,109493;City
819;40de8bc4-398e-5ac4-acd0-7b57d921ab45;Notes Moorgate;http://www.notes-uk.co.uk;51,519698;-0,089994;City
163;36a8aded-db7a-5893-8c2a-0e88a6b05d45;Jamies - Suffolk Lane;http://www.jamiesbars.co.uk/bars/suffolk-lane;51,511171;-0,089281;City
361;4a32f52b-072a-5168-a799-281ab58c70bb;Bibimbap to Go;http://bibimbaptogo.co.uk;51,512585;-0,083736;City
366;f0b6fb39-4065-54fa-bdac-a40d86e8ab90;Falafel House;http://www.falafel-house.co.uk/;51,513509;-0,101504;City
367;d3a4d12b-e79a-54cd-a512-498ad75f6b8a;L'Anima Cafe;http://lanimacafe.co.uk;51,522156;-0,081725;City
372;8b26a28a-04d8-5603-a540-491d1a7788cd;Breakfast and. Burgers;http://breakfastandburgers.com/;51,513975;-0,080608;City
384;21820ee0-efd7-51d5-9344-4fe66a1f07cb;Maison Mekong;http://www.maisonmekong.com/;51,513211;-0,100688;City
849;36a2f1b9-5fd8-5495-9864-dd55f7b94b7e;Vertigo 42;http://www.vertigo42.co.uk;51,515448;-0,083769;City
848;1bba0ab5-a220-520e-8a75-6defe3a0db67;Darwin Brasserie;http://skygarden.london/;51,511364;-0,083565;City
742;f2212eee-aeff-509a-b1b4-17cb350021c2;Jamies;http://www.jamies.london/bars/ludgate-hill/;51,514006;-0,102568;City
859;7b471cab-ceb5-58a5-9e7a-5dd3c11524ec;Nandos;https://www.tripadvisor.com/Restaurant_Review-g186338-d2041968-Reviews-Nando_s-London_England.html;51,51367;-0,095505;City
865;a0ab79f2-754a-597e-a4c3-a9047bb53082;Adriatico Bacari;http://www.adriaticobacari.co.uk;51,514079;-0,078729;City
882;f127d634-a3b7-5385-8306-185001eea0c0;Magpie Stump;http://magpieandstump.com;51,516107;-0,102459;City
880;8d0c581b-9797-5b42-bebb-6d5874d3f97c;East Way;https://www.tripadvisor.com/Restaurant_Review-g186338-d1367600-Reviews-Eastway_Brasserie-London_England.html;51,517698;-0,081563;City
897;1c04f859-ecce-5ee7-9193-e1dc26abd49b;Fora restaurant;http://www.forarestaurants.co.uk;51,515146;-0,078232;City
861;0e449d31-6fe7-5c77-8753-e22f07ff244f;Forge;https://www.forgedinlondon.com/london-bar;51,513363;-0,087108;City
164;acad0c73-0021-5b1b-86d7-f0578c4fd6d8;Grabthai;https://www.grabthai.uk;51,519959;-0,079788;City
165;9e967c73-f670-59f5-a80a-8cc22419382f;Sfoglia BO;https://www.tripadvisor.com/Restaurant_Review-g186338-d11876926-Reviews-Mattarello_Restaurant-London_England.html;51,51566;-0,075643;City
919;1958615b-1aa5-5030-a269-84dd9be5d7e0;Pitt Cue;http://www.pittcue.co.uk;51,516603;-0,078267;City
922;e81f00ed-ec90-5ca8-8ddd-79c80813ddd3;Dion;http://dionlondon.co.uk;51,514692;-0,097878;City
929;a2fea379-0551-5c47-b16a-1cc67e5e193b;The kings arms;https://www.greeneking-pubs.co.uk/;51,516614;-0,082628;City
951;55303ca3-1d7c-511d-8418-e4b76f839925;Cheese at Leadenhall;https://cheeseatleadenhall.co.uk;51,513129;-0,083817;City
953;6d375790-ca96-55ce-9087-5a776025cb01;Assenheim 56;http://assenheims.com/;51,513666;-0,102797;City
954;938eca54-4a82-5f59-a417-a365cf604260;Pilpel;https://www.pilpel.co.uk;51,514569;-0,107307;City
957;a4606390-e658-5b53-b515-03220edc387d;La Dame de Pic London;https://ladamedepiclondon.co.uk;51,510322;-0,078001;City
958;ae9bf03d-7571-5704-a445-e548296cd042;Cote Brasserie - St Pauls;https://www.cote.co.uk;51,514145;-0,101071;City
961;e43a3757-457d-5012-b34b-05e885404105;GRABTHAI Bangkok Caf? - Liverpool Street;https://www.grabthai.uk;51,519973;-0,0798;City
965;6b3c90a5-ef63-5183-a204-71ee4a9dfb8a;Pod;http://www.pod.co.uk;51,516916;-0,078286;City
169;f1154d73-9d18-5cb3-b65e-0412311b895a;The Bottlescrue;https://www.davy.co.uk;51,515609;-0,096438;City
172;f5c66142-e855-51f0-9bb4-b634e27c0168;APULIA;http://apuliarestaurant.co.uk;51,519239;-0,100464;City
181;bd4f6d10-5349-5ca7-aa27-881cc00347f0;Chop'd;https://chopd.co.uk;51,511454;-0,07943;City
943;dea6a446-5dc4-5586-8d09-581b6277303a;St Brides Tavern ;http://www.stbridestavern.co.uk;51,5135;-0,104657;City
944;97311985-0db1-5e7f-9cae-83c12e8a6e38;Jose pizarro;https://josepizarro.com/jose-pizarro-broadgate;51,51904;-0,083135;City
932;a9712334-e4c3-57bb-9e4e-3056643c8158;Royal Exchange Grind;https://grind.co.uk/pages/royal-exchange-grind;51,513915;-0,087741;City
946;25a995a7-b84c-5f69-bee7-4a760ffde3f8;Karaoke Box;http://website.karaokebox.co.uk;51,518099;-0,103214;City
433;fb4d4778-e0ba-573d-9493-761f3529f5c0;Patty & Bun;https://www.pattyandbun.co.uk/;51,51752;-0,08233;City
